GEOGRAPHY_ID,GEOGRAPHY_ID_TYPE,GEOGRAPHY_NAME,GEOGRAPHY_TYPE,GEOGRAPHY_COMMUNITY_NAME,GEOGRAPHY_COMMUNITY_ID,PDX18_TYPE,COO16_TYPE,COO18_TYPE,COOREV18_MF_TYPE,COOREV18_SF_TYPE
53033,GEOID,"King County, Washington",county,NA,NA,NA,NA,NA,NA,NA
53033000100,GEOID,"Census Tract 1, King County, Washington",tract,NA,NA,NA,Susceptible,Early Type 1,NA,Early Type 1
53033000200,GEOID,"Census Tract 2, King County, Washington",tract,NA,NA,NA,Early Type 1,NA,NA,Continued Loss
53033000300,GEOID,"Census Tract 3, King County, Washington",tract,NA,NA,Early Type 1,Susceptible,Susceptible,NA,Early Type 1
53033000401,GEOID,"Census Tract 4.01, King County, Washington",tract,NA,NA,Susceptible,Susceptible,Susceptible,NA,Early Type 1
53033000402,GEOID,"Census Tract 4.02, King County, Washington",tract,NA,NA,Early Type 1,NA,Susceptible,NA,Early Type 1
53033000500,GEOID,"Census Tract 5, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033000600,GEOID,"Census Tract 6, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033000700,GEOID,"Census Tract 7, King County, Washington",tract,NA,NA,Susceptible,Dynamic,Early Type 1,NA,Early Type 1
53033000800,GEOID,"Census Tract 8, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033000900,GEOID,"Census Tract 9, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033001000,GEOID,"Census Tract 10, King County, Washington",tract,NA,NA,Continued Loss,Susceptible,NA,NA,NA
53033001100,GEOID,"Census Tract 11, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033001200,GEOID,"Census Tract 12, King County, Washington",tract,NA,NA,Dynamic,Early Type 2,NA,NA,Late
53033001300,GEOID,"Census Tract 13, King County, Washington",tract,NA,NA,Dynamic,Early Type 2,Early Type 2,NA,Early Type 2
53033001400,GEOID,"Census Tract 14, King County, Washington",tract,NA,NA,Continued Loss,Continued Loss,Continued Loss,NA,Continued Loss
53033001500,GEOID,"Census Tract 15, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033001600,GEOID,"Census Tract 16, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033001701,GEOID,"Census Tract 17.01, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033001702,GEOID,"Census Tract 17.02, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
